FFQ	11	0	0	4	26	54	42	26	15	18	12	10	11	2	7	6	3	6	5	5	4	4	5	3	6	5	9	7	11	11	13	18	18	14	12	27	26	19	27	33	25	28	33	33	20	20	22	22	17	9	8	239	0
FFQ	12	0	0	4	23	47	47	39	15	14	11	7	6	8	7	5	5	4	6	2	7	3	3	6	11	3	10	5	8	6	8	10	17	15	18	21	15	19	32	44	37	31	34	42	27	19	25	17	8	12	8	229	0
FFQ	13	0	0	3	24	41	41	42	24	19	10	13	6	6	4	6	3	3	4	4	4	4	4	9	3	3	11	11	10	12	14	15	11	10	8	21	14	25	20	31	38	27	44	38	24	24	23	14	17	12	10	236	0
FFQ	14	0	0	2	21	45	42	31	20	24	15	5	10	9	9	3	3	4	7	3	4	3	3	7	10	4	6	5	5	11	12	12	18	13	17	14	19	21	24	35	32	24	28	35	23	21	20	20	11	15	9	266	0
FFQ	15	0	0	3	19	30	46	34	28	12	18	11	8	11	2	3	4	12	11	6	2	5	6	1	4	10	5	9	5	6	12	8	17	8	14	16	23	19	18	40	40	30	34	22	32	22	23	11	15	8	10	267	0
FFQ	16	0	0	2	13	34	28	42	25	29	15	16	10	11	9	3	4	8	5	4	4	3	5	2	5	4	4	4	15	6	11	6	15	14	14	24	11	18	33	42	33	39	26	30	20	17	17	20	9	14	8	269	0
FFQ	17	0	0	2	10	35	34	23	30	30	14	11	12	7	16	6	4	7	10	5	5	2	2	4	3	1	9	10	8	9	8	17	8	12	15	21	16	14	30	40	27	33	26	37	34	21	15	13	10	14	9	271	0
FFQ	18	0	0	2	10	24	46	27	23	20	14	11	9	10	15	11	5	9	4	5	3	7	6	5	4	6	9	6	10	6	8	5	9	14	13	19	20	17	36	26	31	39	27	30	35	29	18	21	16	12	7	261	0
FFQ	19	0	0	2	12	24	30	29	30	16	15	20	5	9	16	8	8	8	4	5	4	7	6	3	3	8	7	11	10	7	11	15	11	13	10	14	18	14	26	39	25	36	36	32	29	22	21	18	19	4	6	274	0
FFQ	20	0	0	2	12	28	30	20	33	17	18	15	7	14	14	8	6	5	8	6	1	3	7	6	7	6	8	6	5	6	11	12	14	16	13	15	11	17	28	39	28	26	36	31	21	25	31	21	20	12	10	265	0
FFQ	21	0	0	0	11	26	31	25	24	21	20	7	12	17	13	10	4	6	4	9	6	8	6	4	3	13	5	6	5	11	2	8	9	9	6	22	15	18	24	39	37	30	30	32	32	29	19	24	10	16	9	273	0
FFQ	22	0	0	1	12	20	28	28	31	17	21	8	15	11	12	8	6	5	8	6	4	7	10	4	7	6	5	5	9	9	8	5	16	12	13	15	15	18	18	28	35	35	27	25	33	34	16	13	16	14	7	294	0
FFQ	23	0	0	2	6	23	27	26	24	20	20	11	12	14	8	12	9	9	4	2	10	6	2	5	9	6	3	10	14	5	6	9	15	15	21	17	11	16	23	30	24	36	33	26	20	27	18	19	12	13	5	305	0
FFQ	24	0	0	2	7	25	22	21	23	26	18	17	11	14	10	7	6	5	6	7	10	4	6	6	7	5	4	8	15	10	5	13	13	16	14	15	14	13	26	37	32	34	34	31	20	26	16	21	14	10	7	287	0
FFQ	25	0	0	1	8	23	26	26	20	21	18	14	9	15	9	3	6	8	7	11	8	6	3	11	2	4	8	10	13	11	11	14	15	15	10	9	14	20	28	33	36	26	34	34	25	22	18	13	12	6	11	293	0
FFQ	26	0	0	2	7	18	23	27	30	16	20	13	5	12	8	6	6	10	4	15	4	6	9	7	11	10	5	8	10	6	7	20	10	8	19	16	19	15	24	34	21	42	44	30	25	23	16	16	14	14	6	279	0
FFQ	27	0	0	3	5	17	29	26	20	16	18	13	13	9	7	7	5	9	3	10	8	15	6	12	8	11	12	5	6	10	8	10	5	14	15	14	15	22	28	33	21	22	43	29	28	29	30	19	17	11	6	278	0
FFQ	28	0	0	3	2	17	26	24	19	22	14	16	10	9	9	10	4	2	10	10	9	10	6	6	7	6	9	11	12	8	15	14	11	13	9	14	12	15	27	24	31	39	32	28	33	29	24	22	11	13	4	289	0
FFQ	29	0	0	4	1	9	19	28	23	18	20	14	10	14	9	6	4	5	10	6	5	3	8	4	8	5	8	13	10	14	7	15	11	16	11	17	19	14	25	24	30	32	30	38	24	24	24	11	17	12	9	312	0
FFQ	30	0	0	4	0	11	15	21	15	20	25	9	10	18	8	10	8	4	6	6	2	5	10	11	6	8	12	10	12	10	8	13	17	14	18	13	14	21	20	30	26	28	34	34	23	20	22	18	17	21	12	301	0
FFQ	31	0	0	3	2	9	13	21	24	17	14	12	10	13	9	8	8	6	11	7	5	8	6	7	5	15	7	7	15	15	13	13	16	13	9	20	17	12	23	34	29	30	37	29	29	25	17	17	15	9	16	300	0
FFQ	32	0	0	3	3	6	11	21	14	24	8	13	10	15	8	3	7	8	6	10	7	6	8	5	6	14	8	9	11	17	12	12	15	10	18	17	22	18	26	34	30	42	24	30	25	27	18	18	17	11	12	301	0
FFQ	33	0	0	3	3	8	11	14	16	15	8	11	11	15	5	2	8	6	9	5	11	9	10	11	6	15	13	15	13	12	12	15	10	12	17	16	12	14	29	38	26	26	33	28	31	27	33	19	19	14	6	298	0
FFQ	34	0	0	3	1	5	14	13	15	12	10	10	13	13	9	5	2	8	4	7	6	10	7	15	8	14	7	13	13	14	16	16	16	14	7	15	14	16	30	31	31	30	28	33	37	24	16	24	17	16	5	313	0
FFQ	35	0	0	3	1	4	8	12	20	8	13	8	10	12	8	8	5	8	5	3	6	6	11	12	11	9	12	10	16	14	11	16	16	15	12	15	10	14	31	31	29	32	23	39	31	21	30	19	14	21	8	319	0
FFQ	36	0	0	4	0	1	6	12	12	16	15	8	3	12	11	7	7	7	5	4	8	8	8	8	9	6	15	10	16	15	14	12	11	12	16	19	16	17	14	33	30	30	37	29	26	42	29	17	14	15	14	320	0
FFQ	37	0	0	3	1	2	9	8	15	11	10	11	5	9	7	5	8	7	4	6	6	4	9	9	6	10	15	9	12	15	21	18	9	11	7	16	13	18	15	30	37	30	32	32	37	28	24	27	18	15	4	342	0
FFQ	38	0	0	2	2	2	4	18	9	8	10	11	5	6	10	4	5	5	5	6	5	9	7	8	6	13	4	12	9	10	13	13	21	17	13	20	10	12	26	34	25	35	35	23	43	28	27	20	25	11	15	339	0
FFQ	39	0	0	2	1	1	9	12	7	8	9	9	8	5	3	10	4	6	7	8	3	6	5	9	9	10	9	7	12	9	11	15	19	16	16	6	21	22	23	35	27	33	31	28	33	21	27	27	20	12	14	355	0
FFQ	40	0	0	2	1	4	8	7	8	10	6	12	6	3	4	9	6	2	2	5	5	7	4	10	11	10	3	7	7	16	17	15	18	18	11	24	13	21	35	30	24	32	31	25	25	31	19	22	28	8	8	370	0
FFQ	41	0	0	3	2	4	7	8	4	8	7	4	7	6	7	4	7	1	3	4	5	9	8	5	4	6	8	12	20	3	17	18	13	21	21	22	13	10	31	35	31	31	34	31	29	36	23	32	12	19	7	348	0
FFQ	42	0	0	2	2	5	4	9	9	3	4	10	6	6	5	6	3	5	5	4	3	6	4	3	10	7	10	13	7	10	8	16	22	24	17	22	24	14	24	30	26	32	40	33	36	25	30	21	20	14	4	357	0
FFQ	43	0	0	2	1	5	3	8	10	5	5	6	4	6	9	3	5	6	2	6	1	3	3	2	5	11	14	13	15	9	16	15	21	16	20	20	10	18	33	35	26	25	43	32	39	31	31	24	11	10	12	350	0
FFQ	44	0	0	2	1	4	2	8	8	5	2	7	9	7	5	5	4	6	7	3	2	2	4	4	6	9	12	6	14	17	7	22	18	19	17	15	20	16	30	24	31	31	40	35	31	34	24	18	20	18	15	354	0
FFQ	45	0	0	2	1	3	2	7	6	9	4	4	5	6	3	7	8	3	5	4	4	7	6	7	2	8	10	9	17	11	10	17	20	12	21	14	25	25	18	31	17	30	28	33	34	27	21	28	28	16	8	377	0
FFQ	46	0	0	2	1	1	3	8	6	4	5	7	4	4	6	4	9	7	4	3	5	8	7	5	5	8	8	7	10	14	11	16	17	15	22	11	26	19	27	28	33	25	32	27	32	32	32	22	28	7	10	373	0
FFQ	47	0	0	2	1	2	3	6	8	4	5	7	1	2	7	4	4	3	6	12	3	9	8	6	6	2	8	5	15	12	16	19	11	22	15	17	19	16	18	34	28	36	31	37	30	32	24	18	19	12	13	382	0
FFQ	48	0	0	2	2	1	4	9	5	5	4	8	1	5	5	0	6	5	7	3	6	3	8	4	5	7	6	13	11	15	18	13	13	17	23	19	14	18	19	30	31	26	36	30	33	41	36	23	21	12	7	370	0
FFQ	49	0	0	2	3	0	7	3	10	6	5	7	1	3	3	6	3	12	1	5	2	4	8	4	7	7	5	11	13	19	21	10	16	14	20	12	18	19	24	29	23	31	35	39	37	35	30	24	17	15	18	356	0
FFQ	50	0	0	2	2	3	2	4	7	11	5	3	6	3	4	3	4	9	4	3	3	3	6	6	6	12	6	9	11	12	17	20	10	27	10	22	18	12	27	24	30	26	31	37	39	28	29	22	20	14	21	367	0
FFQ	51	0	0	2	2	2	4	7	4	9	5	5	6	5	1	5	4	5	6	3	3	6	9	10	7	8	7	13	11	10	11	9	18	17	20	14	22	14	32	27	17	25	35	30	34	20	30	33	16	13	9	395	0
FFQ	52	0	0	3	1	4	2	5	4	13	4	4	8	4	2	2	3	7	6	9	0	5	10	5	8	7	10	10	8	17	12	10	16	20	11	11	23	23	24	28	14	29	34	34	30	18	26	16	18	12	11	419	0
FFQ	53	0	0	4	0	4	2	3	8	5	5	6	4	4	5	2	10	6	4	6	1	6	10	4	9	7	14	10	13	13	14	15	15	17	18	14	12	12	19	24	30	35	29	31	38	32	24	20	18	9	13	396	0
FFQ	54	0	0	4	1	2	3	5	5	9	6	9	8	5	3	1	9	4	6	3	4	9	6	11	4	10	13	14	11	4	18	12	12	18	10	12	16	11	24	24	30	31	40	33	41	23	24	18	27	9	10	388	0
FFQ	55	0	0	2	2	2	1	8	7	5	5	13	5	7	7	1	3	3	6	4	5	6	2	7	6	10	13	18	17	14	9	16	13	15	7	13	24	8	15	30	22	21	39	38	45	31	23	23	20	18	12	379	0
FFQ	56	0	0	2	1	3	3	5	6	7	3	15	4	5	5	3	3	6	4	4	7	4	9	11	4	5	11	8	9	14	15	20	17	9	11	16	12	14	19	33	25	31	30	31	38	25	28	38	24	9	12	382	0
FFQ	57	0	0	2	1	0	7	7	6	4	5	15	4	2	5	6	6	5	4	2	6	5	7	16	4	9	14	12	6	10	8	12	11	12	17	13	18	12	18	21	43	37	38	40	32	25	30	22	15	7	12	387	0
FFQ	58	0	0	2	1	0	1	11	4	7	7	11	9	4	4	5	5	2	5	6	4	6	5	7	4	5	14	8	9	19	13	12	19	6	12	14	13	19	18	31	18	32	29	31	35	34	26	26	20	23	4	400	0
FFQ	59	0	0	2	1	2	0	8	5	8	7	6	6	4	4	4	6	6	5	5	8	3	6	2	5	8	12	4	8	9	18	20	14	11	18	11	14	15	18	29	32	37	38	33	40	24	40	16	21	15	14	378	0
FFQ	60	0	0	2	1	2	2	10	7	8	4	10	3	1	6	6	8	1	9	2	0	2	7	5	10	5	6	10	8	8	7	10	18	18	15	19	20	18	23	28	31	24	27	26	38	30	33	26	18	16	16	396	0
FFQ	61	0	0	2	2	1	4	11	6	5	6	7	5	6	6	3	6	5	2	5	1	4	2	3	9	4	8	11	13	13	12	14	14	9	11	18	18	19	24	28	22	27	29	32	28	24	28	20	23	21	18	411	0
FFQ	62	0	0	2	2	2	5	5	8	5	9	2	8	9	6	2	9	3	1	1	5	4	7	4	3	7	5	5	7	13	16	15	14	13	16	10	21	26	25	23	23	35	32	28	32	36	31	29	19	19	11	387	0
FFQ	63	0	0	2	4	1	5	5	9	7	5	6	10	5	6	2	7	2	2	1	4	9	4	4	8	7	6	10	13	5	8	19	12	14	16	20	21	12	18	27	34	24	31	30	27	38	23	26	25	10	9	407	0
FFQ	64	0	0	1	6	2	2	7	6	5	6	4	8	6	5	3	5	4	5	5	9	1	8	2	6	15	6	9	12	9	10	16	15	20	3	13	18	9	18	20	22	30	48	37	31	35	21	25	19	12	14	407	0
FFQ	65	0	0	2	4	3	4	5	6	5	6	10	2	5	9	4	3	3	6	4	3	4	9	4	9	5	9	9	11	6	19	20	14	10	13	20	11	17	11	25	25	30	28	29	35	42	31	30	18	16	11	395	0
FFQ	66	0	0	1	4	4	4	5	3	7	13	4	8	3	5	7	6	2	6	0	4	4	6	4	9	6	6	9	13	12	11	10	17	13	14	20	8	13	16	24	28	34	30	35	35	36	31	15	27	9	18	401	0
FFQ	67	0	0	1	3	5	3	6	6	5	9	7	4	0	5	4	13	5	2	1	4	2	3	3	10	7	5	15	15	14	12	13	17	11	18	9	20	15	17	25	21	31	38	30	31	43	26	26	26	17	5	392	0
FFQ	68	0	0	1	3	5	7	4	7	4	6	3	4	5	5	5	8	4	4	6	2	2	5	2	6	9	9	9	9	10	15	9	21	19	18	20	13	7	20	23	27	31	36	42	26	38	32	24	24	16	13	382	0
FFQ	69	0	0	1	4	5	7	3	6	2	6	4	1	6	6	2	4	6	4	4	5	3	3	9	7	7	10	17	13	6	7	11	16	21	21	23	16	18	14	24	25	32	31	32	34	29	34	18	20	12	8	403	0
FFQ	70	0	0	1	3	7	6	1	5	1	6	7	5	2	6	3	4	4	2	3	4	6	6	8	6	12	9	7	11	17	16	17	16	14	12	19	20	15	19	26	25	31	39	35	35	27	16	14	16	6	8	422	0
FFQ	71	0	0	1	2	7	5	3	3	5	5	3	3	6	5	4	5	2	4	3	3	3	6	10	5	4	13	7	14	18	15	20	17	20	10	17	12	20	27	19	30	27	26	39	32	36	35	32	18	11	13	375	0
FFQ	72	0	0	1	3	8	2	2	7	3	4	2	2	6	4	10	4	4	3	4	3	3	6	7	4	8	10	8	10	13	10	17	16	22	13	18	22	19	18	19	23	30	41	32	32	35	30	14	16	18	7	406	0
FFQ	73	0	0	2	3	4	2	3	5	8	3	5	3	4	2	5	9	3	1	3	5	4	7	8	5	7	9	13	16	15	14	17	9	14	18	17	14	19	22	17	28	32	35	26	31	25	22	31	20	17	12	405	0
FFQ	74	0	0	0	5	5	1	4	7	5	6	3	4	4	7	1	1	3	3	2	5	4	3	10	16	7	7	7	13	13	21	10	15	19	10	18	12	14	18	24	23	42	25	31	33	32	30	36	17	11	12	400	0
FFQ	75	0	0	2	2	3	2	6	6	4	6	3	6	2	5	2	2	3	6	1	7	4	7	5	9	4	11	12	11	16	13	8	19	22	13	11	12	12	29	24	21	29	25	34	45	28	25	22	16	18	9	417	0
FFQ	76	0	0	2	2	1	4	3	7	5	7	6	6	5	5	1	1	4	4	3	7	9	5	4	6	14	8	10	11	14	18	10	13	21	12	13	8	12	17	29	26	31	29	29	38	29	27	20	23	12	8	420	0
FFQ	77	0	0	2	1	0	6	1	8	8	5	4	5	7	4	1	7	5	3	4	10	6	5	5	8	7	6	4	21	15	14	12	18	14	10	11	17	17	13	34	23	26	28	26	36	36	33	22	22	18	9	402	0
FFQ	78	0	0	3	0	1	4	6	4	9	7	11	8	7	1	3	4	2	5	4	3	5	4	8	8	8	11	17	9	11	14	8	12	17	12	13	15	12	24	23	21	36	30	34	28	31	29	18	16	17	15	411	0
FFQ	79	0	0	2	1	0	8	4	6	7	7	9	6	11	2	4	0	8	4	3	2	8	2	3	6	11	9	16	14	18	15	16	12	9	13	11	10	20	23	15	26	25	25	31	27	30	27	19	24	9	7	434	0
FFQ	80	0	0	2	1	0	6	6	4	10	7	9	8	5	6	5	5	4	4	1	5	6	3	5	4	9	11	14	12	9	11	17	21	17	8	9	10	12	16	23	26	28	40	29	26	25	25	27	22	16	8	422	0
FFQ	81	0	0	2	1	1	4	4	8	8	8	8	5	6	6	6	3	6	4	3	2	7	5	4	8	11	16	6	15	11	3	14	12	14	13	15	10	10	15	23	28	25	31	31	32	37	33	29	17	13	12	413	0
FFQ	82	0	0	2	1	3	3	4	9	8	10	6	4	7	4	4	7	6	3	4	5	3	7	8	6	11	10	8	14	11	11	18	11	14	9	5	14	12	21	14	15	25	33	35	37	37	32	32	13	15	11	416	0
FFQ	83	0	0	2	1	3	1	8	10	7	7	4	4	9	2	6	6	5	3	3	5	7	7	3	8	5	7	12	11	8	15	17	17	15	10	12	13	13	22	14	16	33	34	31	32	31	24	27	13	19	12	422	0
FFQ	84	0	0	2	1	2	5	11	3	5	7	7	7	4	3	5	7	4	2	4	6	5	5	6	7	6	6	12	11	7	11	12	15	16	13	14	16	9	17	12	24	24	43	38	33	31	37	29	16	15	7	414	0
FFQ	85	0	0	2	1	4	5	7	5	7	5	6	6	3	5	5	5	6	4	5	6	4	3	4	6	4	9	11	10	21	13	9	11	14	5	13	10	13	21	23	16	31	37	32	32	35	23	27	16	18	10	428	0
FFQ	86	0	0	2	1	3	6	8	6	7	4	6	6	7	3	3	3	5	6	1	4	3	4	5	13	4	11	7	6	13	18	13	9	11	11	25	11	5	21	7	18	29	38	38	44	28	39	21	16	23	13	411	0
FFQ	87	0	0	1	2	5	7	5	1	7	9	8	6	2	1	4	3	4	4	5	7	5	6	8	9	7	10	19	9	6	10	8	9	14	9	18	11	8	10	18	22	23	35	46	34	31	23	32	27	20	9	418	0
FFQ	88	0	0	1	3	3	7	1	3	5	9	9	6	4	1	7	3	4	2	7	1	7	6	8	9	3	10	9	13	14	14	15	12	13	14	7	9	13	12	20	20	26	26	29	36	32	31	20	20	19	18	432	0
FFQ	89	0	0	1	2	2	4	6	7	5	11	4	4	5	3	4	3	1	6	2	4	5	8	5	6	6	7	13	8	15	11	19	16	15	12	7	9	16	14	15	24	32	34	24	29	29	44	21	22	14	17	422	0
FFQ	90	0	0	2	1	0	8	7	3	7	8	5	4	4	9	4	4	7	5	0	1	6	6	5	9	5	13	9	9	10	12	14	14	18	13	9	15	7	21	22	20	25	27	28	27	47	29	29	22	15	6	422	0
FFQ	91	0	0	2	1	1	7	6	6	5	9	6	7	5	5	6	4	0	4	1	3	1	5	8	9	6	10	14	15	9	16	17	15	10	10	9	9	17	23	23	19	26	31	27	45	26	21	29	25	17	9	414	0
FFQ	92	0	0	1	2	1	6	9	3	7	10	4	5	3	6	3	8	3	2	3	1	6	0	8	10	10	6	10	13	10	12	18	8	13	19	17	11	19	17	21	13	27	35	36	31	35	23	20	20	14	9	425	0
FFQ	93	0	0	1	2	2	4	10	7	6	3	3	7	6	3	4	6	3	2	4	4	1	5	13	7	7	13	9	12	7	15	21	13	10	15	9	8	20	23	18	12	33	32	35	33	35	26	23	16	12	7	426	0
FFQ	94	0	0	1	2	2	9	8	7	3	7	1	0	5	6	2	9	5	3	4	3	5	4	7	6	9	10	14	6	17	15	11	16	15	12	13	13	19	21	16	21	23	23	41	32	29	28	24	14	16	9	427	0
FFQ	95	0	0	1	3	1	6	6	14	5	2	5	2	3	4	2	6	4	4	4	6	1	8	4	9	7	12	8	16	14	13	13	18	11	12	15	15	14	19	19	16	20	25	35	32	40	33	19	27	13	8	419	0
FFQ	96	0	0	0	4	3	5	7	5	6	3	3	2	1	0	4	4	6	4	6	2	5	9	14	9	5	7	10	10	20	11	13	11	16	19	20	12	13	19	14	19	28	31	35	25	47	23	16	19	14	11	423	0
FFQ	97	0	0	0	4	3	5	4	7	6	7	3	2	2	3	4	4	6	5	5	5	9	6	3	3	10	10	17	11	17	15	13	18	6	13	18	15	18	12	15	17	26	26	24	28	34	27	30	16	15	11	435	0
FFQ	98	0	0	1	3	4	5	6	4	7	6	1	4	0	5	1	7	5	2	5	8	6	7	4	9	5	8	6	11	11	18	24	17	9	15	10	16	10	11	15	22	25	26	33	34	34	28	23	24	17	16	424	0
FFQ	99	0	0	0	3	5	3	4	8	1	4	2	8	4	4	6	5	3	4	4	7	4	7	8	7	5	13	14	13	8	9	13	11	9	9	16	13	17	13	15	24	26	35	26	27	25	28	23	25	18	6	450	0
FFQ	100	0	0	0	3	2	3	3	6	5	1	4	7	4	4	3	4	2	5	7	6	2	9	10	9	6	10	13	10	12	22	15	12	7	11	13	12	10	18	23	18	31	18	35	36	27	24	22	22	12	14	439	0
FFQ	101	0	0	1	2	2	2	3	6	2	3	7	4	6	4	5	3	3	2	5	5	3	8	7	5	9	7	11	16	10	16	19	21	8	16	10	12	8	20	18	18	24	29	21	34	27	24	24	11	18	11	461	0
FFQ	102	0	0	1	3	1	2	4	2	6	2	9	4	8	3	3	6	3	6	5	5	3	4	9	4	3	16	16	11	6	10	19	15	17	16	8	15	9	15	16	17	22	27	25	32	27	25	26	23	21	9	452	0
FFQ	103	0	0	0	3	4	4	1	4	6	5	6	3	4	4	4	6	4	4	2	7	5	7	4	8	6	15	9	12	14	17	9	11	12	8	14	17	8	14	23	20	17	31	31	35	26	24	29	18	12	15	449	0
FFQ	104	0	0	0	3	3	4	3	9	3	4	5	3	6	2	6	3	5	7	2	5	3	10	6	6	5	8	8	12	11	15	15	13	18	16	12	11	9	10	19	23	23	35	31	20	27	28	23	28	17	14	442	0
FFQ	105	0	0	0	3	4	4	3	6	4	2	8	3	6	0	5	4	4	3	6	4	6	4	8	9	5	18	10	11	5	9	15	16	11	13	16	18	11	19	24	26	18	34	22	26	32	27	15	11	11	20	452	0
FFQ	106	0	0	1	2	5	2	3	7	7	2	12	3	5	2	2	2	3	1	10	5	5	4	5	13	9	15	10	10	14	10	12	15	8	12	11	7	10	20	19	24	31	35	28	28	27	22	25	26	12	9	440	0
FFQ	107	0	0	1	3	5	2	3	5	6	4	8	3	4	1	2	1	4	6	10	6	7	4	11	8	13	7	7	13	13	10	13	7	17	9	10	11	12	18	31	26	21	25	31	32	34	21	23	18	16	9	439	0
FFQ	108	0	0	1	3	4	3	3	4	8	7	3	3	2	2	5	5	4	4	5	6	6	7	7	7	11	4	10	8	9	14	13	12	13	20	15	13	10	20	16	16	28	36	29	24	28	21	26	25	17	10	440	0
FFQ	109	0	0	1	3	5	2	3	1	9	9	3	5	3	2	4	7	5	3	3	6	4	5	6	7	9	10	10	18	6	15	13	12	13	11	9	14	8	19	13	25	31	27	25	23	32	36	22	17	10	12	451	0
FFQ	110	0	0	1	2	4	3	2	2	9	6	4	6	2	7	2	7	4	1	4	2	3	6	4	9	9	5	16	11	10	20	11	14	16	10	13	12	15	15	20	17	29	28	27	32	26	21	25	20	15	15	443	0
FFQ	111	0	0	1	2	3	3	4	5	4	4	5	6	5	5	3	8	3	3	2	1	4	5	10	7	13	17	10	7	13	5	13	12	15	13	14	13	14	10	21	15	36	27	21	30	26	36	19	18	10	14	449	0
FFQ	112	0	0	1	3	1	3	3	4	5	6	7	5	6	6	6	5	4	1	4	4	8	5	8	6	9	11	14	9	9	15	11	12	8	18	13	7	11	10	20	17	26	30	31	25	35	23	21	19	19	13	446	0
FFQ	113	0	0	1	3	4	2	3	6	5	10	3	4	3	6	6	5	3	3	5	4	4	7	6	6	7	10	12	8	13	12	13	11	16	7	9	12	12	9	16	23	26	18	33	22	36	30	19	21	10	11	468	0
FFQ	114	0	0	1	4	2	1	9	5	7	6	1	4	4	5	2	8	8	2	2	3	5	6	8	5	8	8	10	15	8	9	12	11	8	20	10	9	7	12	15	26	23	33	27	14	41	28	25	18	14	14	456	0
FFQ	115	0	0	1	4	2	1	5	6	8	7	3	8	1	1	6	8	2	7	3	7	2	12	4	5	4	9	14	14	16	12	15	6	6	10	10	8	8	11	21	25	18	37	23	30	34	29	21	18	13	17	447	0
FFQ	116	0	0	1	2	1	5	2	8	8	5	7	5	1	2	4	7	3	4	5	6	3	7	6	9	5	6	9	14	17	7	14	8	13	11	8	7	11	13	20	15	25	32	33	29	28	21	30	17	15	12	457	0
FFQ	117	0	0	1	3	2	1	5	11	7	6	3	6	3	3	4	3	2	4	4	7	7	5	4	7	10	16	5	13	19	4	12	8	8	9	7	10	14	17	18	20	27	23	30	26	32	26	19	16	16	12	463	0
